x,y,type
18,8,1
34,19,2
9,18,1
37,42,2
35,41,2
34,13,2
50,44,2
23,5,1
7,29,1
21,22,2
22,24,2
1,13,1
37,44,2
43,9,2
6,50,2
9,46,2
46,15,2
26,13,2
2,44,1
39,10,1
41,34,2
37,25,2
21,31,2
21,39,2
10,19,1
16,27,2
37,46,2
38,42,2
38,8,1
28,40,2
0,28,1
10,20,1
40,37,2
3,15,1
37,1,1
10,24,1
39,10,1
5,20,1
11,5,1
15,27,2
18,43,2
29,43,2
41,21,2
26,29,2
47,36,2
33,20,2
31,21,2
13,30,2
45,6,2
34,32,2
32,39,2
23,37,2
49,31,2
44,46,2
42,7,1
33,35,2
44,1,1
6,10,1
50,50,2
45,37,2
24,31,2
45,10,2
31,31,2
34,43,2
50,37,2
8,32,1
19,48,2
21,40,2
25,28,2
25,35,2
42,1,1
2,7,1
2,26,1
27,4,1
9,15,1
35,17,2
28,28,2
48,40,2
47,7,2
12,23,2
49,47,2
0,4,1
32,15,2
32,5,1
44,22,2
18,4,1
19,29,2
47,21,2
33,43,2
5,30,1
7,24,1
7,48,2
47,29,2
16,30,2
3,14,1
41,40,2
49,32,2
30,24,2
47,29,2
40,47,2
30,31,2
26,3,1
33,20,2
7,19,1
0,44,1
19,36,2
34,1,1
11,11,2
0,34,1
26,25,2
38,21,2
30,22,2
26,40,2
4,12,1
23,12,2
5,24,1
36,8,1
43,40,2
26,2,1
46,50,2
32,35,2
31,33,2
47,29,2
11,6,1
7,8,1
25,0,1
11,26,2
45,17,2
48,34,2
32,17,2
4,20,1
19,29,2
45,27,2
10,42,2
15,1,1
30,4,1
22,45,2
28,13,2
36,10,1
2,9,1
48,1,1
36,23,2
24,16,2
15,7,1
47,4,2
28,50,2
17,6,1
33,36,2
36,47,2
38,36,2
30,46,2
1,13,1
15,41,2
34,28,2
11,40,2
44,39,2
25,48,2
21,9,1
25,22,2
46,13,2
3,19,1
44,40,2
21,10,1
43,11,2
25,35,2
42,44,2
17,11,2
41,32,2
46,2,1
32,19,2
22,25,2
3,21,1
28,32,2
10,39,1
48,37,2
34,17,2
0,10,1
0,18,1
30,46,2
18,27,2
11,49,2
47,27,2
41,34,2
29,43,2
43,14,2
36,29,2
32,23,2
7,1,1
30,12,2
45,8,2
0,34,1
39,36,2
41,41,2
22,39,2
31,49,2
37,3,1
49,12,2
5,45,1
2,22,1
17,49,2
6,49,2
11,22,2
1,1,1
24,10,1
10,16,1
24,44,2
47,2,1
2,6,1
29,38,2
1,21,1
32,12,2
0,21,1
43,13,2
18,43,2
17,48,2
27,28,2
41,42,2
29,8,1
31,18,2
11,9,1
2,36,1
10,3,1
5,42,1
45,32,2
33,41,2
31,23,2
13,21,2
37,30,2
6,29,1
14,1,1
45,50,2
39,17,2
17,19,2
50,24,2
2,27,1
48,48,2
22,46,2
23,48,2
20,50,2
42,0,1
39,43,2
16,27,2
3,26,1
17,29,2
30,46,2
13,17,2
50,49,2
12,44,2
3,23,1
46,9,2
37,19,2
30,5,1
3,42,1
50,8,2
12,44,2
40,11,2
27,3,1
37,25,2
23,32,2
19,8,1
1,4,1
35,24,2
21,45,2
28,23,2
19,25,2
36,19,2
45,25,2
32,11,2
1,15,1
43,29,2
17,34,2
3,41,1
11,33,2
35,25,2
44,49,2
17,41,2
21,30,2
18,13,2
18,2,1
13,43,2
39,46,2
50,30,2
30,49,2
44,42,2
22,26,2
50,42,2
45,17,2
9,31,1
10,17,1
13,9,1
26,12,2
25,1,1
1,47,1
18,18,2
15,8,1
44,2,1
30,2,1
24,39,2
41,37,2
0,13,1
